English,Vietnamese
via,thông qua
vulnerable,dễ bị tổn thương
evaporation,bay hơi
archeological,cổ tích học
stem,"ngăn, chặn"
illustrious,có danh tiếng
priest,thầy tu
secular,thế tục
substantiate,chứng minh
consolation,an ủi
splurge,sự làm phách
deposit,tiền gửi
influx,dòng
brew,trù liệu
mineral,khoáng sản
adminssion,adminssion
immense,bao la
downturn,suy thoái
agitated,lo âu
anecdotal,không hoàn toàn đúng
seismic,địa chấn
superior,cấp trên
rudimentary,thô sơ
ascertain,xác minh
lateral,ở bên
burgeon,đọt non
justification,sự biện hộ
manifest,rõ ràng
diminished,giảm bớt
accountability,trách nhiệm giải trình
stem from,xuất phát từ
invert,đảo ngược
ascribe,"phóng đại, thổi phồng"
magnify,phóng đại
self-esteem,lòng tự trọng
transformation,sự biến đổi
the Black Death,Cái chết đen
devastating,tàn phá
strain,"sự căng thẳng, quá tải"
plague,bệnh dịch
depic,depic
in conjunction with,kết hợp với
surge,dâng trào
momentous,quan trọng
mortality rate,tỷ lệ tử vong
